model,cd
Volkswagen Beetle,0.48
Jeep Wrangler (JL),0.454
Pagani Huayra,0.31
"Toyota Corolla (E210, UK)",0.31
Toyota Prius,0.29
Chevrolet Corvette C6,0.286
Porsche Taycan Turbo,0.22
Tesla Model 3,0.219
Hyundai Ioniq 6,0.21
Tesla Model S,0.208
Mercedes-Benz EQS,0.2
Lucid Air,0.197
Xiaomi SU7,0.195
General Motors EV1,0.19
Alfa Romeo Disco Volante,0.26
Dymaxion Car,0.25
Alfa Romeo B.A.T. 7 Concept,0.19
Aptera SEV (2019 relaunch),0.13
General Motors Precept Concept,0.16
Mercedes-Benz Vision EQXX,0.17
Volkswagen XL1,0.19
